ID_SUBVENTION;NOM_BENEFICIAIRE;DESCRIPTION_SUBVENTION;ADRESSE_BENEFICIAIRE;PROGRAMME_PJL_FINANCE;MONTANT_SUBVENTION;PRENOM_NOM_DEPUTE_NOSDEPUTES;ID_DEPUTE_AN;ID_NOSDEPUTES;NOM_DEPUTE_NOSDEPUTES;PRENOM_DEPUTE_NOSDEPUTES;SEXE_DEPUTE;DATE_NAISSANCE_DEPUTE;LIEU_NAISSANCE_DEPUTE;ID_DEPARTEMENT;DEPARTEMENT_NOSDEPUTES;NUMERO_CIRCONSCRIPTION;DATE_DEBUT_MANDAT;DATE_FIN_MANDAT;MANDAT_CLOS;GROUPE_SIGLE;PARTI_RATTACHEMENT_FINANCIER;PROFESSION;PLACE_HEMICYCLE;URL_DEPUTE_AN;SLUG_NOSDEPUTES;URL_DEPUTE_NOSDEPUTES;API_NOSDEPUTES;NB_MANDATS
1;100% sport et loisirs;Fonctionnement;;219-01;1000;;267429;;;;;;;;;;;;;;;;;;;;;
2;1496° Section des Médaillés Militaires;Fonctionnement;;169-03;1000;;267512;;;;;;;;;;;;;;;;;;;;;
3;1686° Section des Médaillés Militaires Meyenheim quartier Dio;Fonctionnement;;169-03;1000;;267013;;;;;;;;;;;;;;;;;;;;;
4;2000 Danses;Aide à la diffusion culturelle intergénération autour de la danse à l'échelle intercommunale;Cour de la Mairie - 86700 COUHE;224-02;2000;;336439;;;;;;;;;;;;;;;;;;;;;
5;35th  « Santa Fe » Division in Normandy;Fonctionnement;;169-03;1500;;266797;;;;;;;;;;;;;;;;;;;;;
6;37è parallèle;Matériel studios musique, salles de danse et d'atelier;Les Grandes Brosses - 9 Rue de la bonne nouvelle - 37390 METTRAY;224-02;14000;;332305;;;;;;;;;;;;;;;;;;;;;
7;4Chem1 Evolution;Soutien scolaire de jeunes en difficulté;54, avenue Edouard Vaillant  - 93500 PANTIN;230-06;4000;;1579;;;;;;;;;;;;;;;;;;;;;
8;4H Tarare;Fonctionnement;;219-01;1000;;334843;;;;;;;;;;;;;;;;;;;;;
9;6ème continent;Fonctionnement;51 rue Saint Michel  - 69007 Lyon;224-02;5000;;334768;;;;;;;;;;;;;;;;;;;;;
10;8 POOL PASSION ARDENNES;Fonctionnement;;219-01;1000;;2952;;;;;;;;;;;;;;;;;;;;;
11;A C B;Fonctionnement;;219-01;2000;;1029;;;;;;;;;;;;;;;;;;;;;
12;A chacun ses vacances;Fonctionnement;;157-01;3000;;1310;;;;;;;;;;;;;;;;;;;;;
13;A P E L   Ecole Saint Joseph;Fonctionnement;;214-01;1000;;267512;;;;;;;;;;;;;;;;;;;;;
14;A petits pas;Fonctionnement;;140-01;2000;;267246;;;;;;;;;;;;;;;;;;;;;
15;A Portée de Voix;Fonctionnement;;224-02;1000;;331567;;;;;;;;;;;;;;;;;;;;;
16;A portée de Voix;Fonctionnement;;224-02;3000;;346876;;;;;;;;;;;;;;;;;;;;;
17;A Travers Chant;Fonctionnement;;224-02;1000;;334654;;;;;;;;;;;;;;;;;;;;;
18;A votre Service;Fonctionnement;;106-03;1000;;1857;;;;;;;;;;;;;;;;;;;;;
19;A.A.S.C.O.;Fonctionnement;107 avenue Gabriel Péri - 93400 Saint-Ouen;;10000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
20;A.A.S.D.A.F;Fonctionnement;;214-01;2000;;1459;;;;;;;;;;;;;;;;;;;;;
21;A.B.C. Danse;Fonctionnement;;219-01;1000;;1031;;;;;;;;;;;;;;;;;;;;;
22;A.C. Saint-Robert- club de football N° d'affiliation FFF: 518964 ;Dépenses équipements sportifs;Saint Robert      97123 Baillif;219-01;5000;;643145;;;;;;;;;;;;;;;;;;;;;
24;A.C.C.A Barriac les Bosquets;Fonctionnement;;113-01;2000;;2084;;;;;;;;;;;;;;;;;;;;;
25;A.C.C.A Meallet;Fonctionnement;;113-01;3000;;2084;;;;;;;;;;;;;;;;;;;;;
26;A.C.C.A;Fonctionnement;;113-07;5000;;2084;;;;;;;;;;;;;;;;;;;;;
28;A.C.C.A de Cette-Eygun;Fonctionnement ;Mairie - 64490 CETTE-EYGUN;113-07;2000;;1838;;;;;;;;;;;;;;;;;;;;;
29;A.C.C.C;Fonctionnement;;224-02;3000;;267260;;;;;;;;;;;;;;;;;;;;;
30;A.C.E.L des Ternes;Fonctionnement;;230-01;4000;;1020;;;;;;;;;;;;;;;;;;;;;
31;A.D.E.T.H.E. Services;Fonctionnement;;157-01;1000;;267886;;;;;;;;;;;;;;;;;;;;;
32;A.D.P.S.P;Fonctionnement;;102-02;1000;;334149;;;;;;;;;;;;;;;;;;;;;
33;A.F.T.C;Fonctionnement;;157-01;1000;;267551;;;;;;;;;;;;;;;;;;;;;
34;A.F.T.C de Franche-Comté;Fonctionnement;;157-01;1000;;267204;;;;;;;;;;;;;;;;;;;;;
35;A.I.R.S.;Fonctionnement;c/o Raphaël Goma - 67, rue Félix Merlin - 93800 Epinay-sur-Seine;;10000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
36;A.J.P;Fonctionnement;;224-02;1500;;856;;;;;;;;;;;;;;;;;;;;;
37;A.L.C - C.A.L.C;Fonctionnement;;219-01;2500;;267762;;;;;;;;;;;;;;;;;;;;;
38;A.N.A.C.R  Cluses;Fonctionnement;;169-03;1000;;608851;;;;;;;;;;;;;;;;;;;;;
39;A.P.A.F.E.D Association pour l'Accueil des Femmes en Difficulté;Fonctionnement;51 rue de la Porte Dijeaux  - 33OOO BORDEAUX;137-12;40000;;1789;;;;;;;;;;;;;;;;;;;;;
40;A.P.E Entraide de la Figonne;Fonctionnement;;106-03;2000;;330684;;;;;;;;;;;;;;;;;;;;;
41;A.P.E La Pradélie;Fonctionnement;;214-01;1000;;267512;;;;;;;;;;;;;;;;;;;;;
42;A.P.E.E.E.;Fonctionnement;92 rue du Docteur Bauer - 93400 Saint-Ouen;;10000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
43;A.P.E.L de l'école Saint-Joseph;Fonctionnement;;214-01;2500;;267762;;;;;;;;;;;;;;;;;;;;;
44;A.P.E.L du Saint Affricain;Fonctionnement;;214-01;1000;;267512;;;;;;;;;;;;;;;;;;;;;
45;A.P.E.L Marie Immaculée;Fonctionnement;;214-01;1000;;267512;;;;;;;;;;;;;;;;;;;;;
46;A.P.E.M.R.D  - ;Fonctionnement;;106-03;1000;;267762;;;;;;;;;;;;;;;;;;;;;
47;A.P.F ;Fonctionnement;;157-01;1500;;1483;;;;;;;;;;;;;;;;;;;;;
48;A.P.I.J;Fonctionnement;;224-02;3000;;2664;;;;;;;;;;;;;;;;;;;;;
49;A.P.L.S;Fonctionnement;;204-11;2000;;1459;;;;;;;;;;;;;;;;;;;;;
50;A.P.P.V.P.A;Fonctionnement;;224-02;3000;;609365;;;;;;;;;;;;;;;;;;;;;
51;A.P.R.E.;Fonctionnement;;175-01;1000;;267886;;;;;;;;;;;;;;;;;;;;;
52;A.R.B.R.E. (Association de Restinclières et Beaulieu pour le Respect de l'Environnement);Fonctionnement;2 rue des Chênes - 34160 BEAULIEU;113-01;1000;;606573;;;;;;;;;;;;;;;;;;;;;
53;A.R.E.J.;Fonctionnement;;175-01;1000;;267886;;;;;;;;;;;;;;;;;;;;;
54;A.R.T.S Paillettes 2000;Fonctionnement;;131-01;1000;;1574;;;;;;;;;;;;;;;;;;;;;
55;A.S Neunkirch;Fonctionnement;;219-01;3000;;267057;;;;;;;;;;;;;;;;;;;;;
56;A.S. Collège Sisley;Fonctionnement;c/o M. Joachim Guechoud - 60 quai de la Marine - 93450 L'Île-Saint-Denis;;5000;;Groupe SRC;;;;;;;;;;;;;SRC;;;;;;;;
57;A.S. La Madeleine Football;Fonctionnement;;219-01;23000;;267728;;;;;;;;;;;;;;;;;;;;;
58;A.S.A.L;Fonctionnement;;219-01;2000;;267204;;;;;;;;;;;;;;;;;;;;;
59;A.S.I.A.;Réhabilitation des vestiaires du club;BP 1128  - 97500 SAINT-PIERRE ET MIQUELON;219-01;30000;;337633;;;;;;;;;;;;;;;;;;;;;
60;A.S.M.;Aménagement de structures d'accueil pour les sportifs;BP 8646  - 97500 MIQUELON;219-01;45000;;337633;;;;;;;;;;;;;;;;;;;;;
61;A.S.P Ensemble;Fonctionnement;;204-11;1500;;856;;;;;;;;;;;;;;;;;;;;;
62;A.T.O.S;Fonctionnement;;219-01;1000;;267499;;;;;;;;;;;;;;;;;;;;;
63;A.V.B.;Développement des activités de formation;;163-01;10000;;609691;;;;;;;;;;;;;;;;;;;;;
64;AAPEL Autonomie;Fonctionnement ;16340 L'Isle d'Espagnac;204-11;6000;;330981;;;;;;;;;;;;;;;;;;;;;
65;AAPMA La truite du Val d'Amour;Fonctionnement;;205-06;1000;;267204;;;;;;;;;;;;;;;;;;;;;
66;AAPPMA;Fonctionnement;;205-06;1000;;2952;;;;;;;;;;;;;;;;;;;;;
67;AAPPMA de Dinsheim-sur-Bruche;Fonctionnement;;219-01;1000;;266774;;;;;;;;;;;;;;;;;;;;;
68;AAPPMA La carpe du Valois;Fonctionnement;;205-06;1000;;1031;;;;;;;;;;;;;;;;;;;;;
69;AAPPMA La Truite du Lignon;Élagage au bord des rivières;M. Olivier BALME - Bel Air - 1, chemin du Plateau - 43400 - Le Chambon sur Lignon;205-06;1000;;267285;;;;;;;;;;;;;;;;;;;;;
70;AAVIV;Fonctionnement;;101-03;5000;;267378;;;;;;;;;;;;;;;;;;;;;
71;ABA Attitude;Fonctionnement;;157-01;1000;;606478;;;;;;;;;;;;;;;;;;;;;
72;ABC – Association Becquart - Canon d'Or;Fonctionnement;;134-02;1000;;1001;;;;;;;;;;;;;;;;;;;;;
73;ABC Bibliothèque;Fonctionnement;;224-02;2000;;606888;;;;;;;;;;;;;;;;;;;;;
74;ABC InterSports;Fonctionnement;;219-01;3000;;610830;;;;;;;;;;;;;;;;;;;;;
75;ABSM;Fonctionnement;;219-01;6000;;610830;;;;;;;;;;;;;;;;;;;;;
76;ACAC;Fonctionnement;;134-02;1500;;609365;;;;;;;;;;;;;;;;;;;;;
77;Académie d'Aïkido d'Echalas;Fonctionnement;;219-01;1000;;267591;;;;;;;;;;;;;;;;;;;;;
78;Académie de Boxe Rachid El Hadak;Aménagement de la salle et organisation de combats et de stages pour les jeunes de l'académie;7, rue Colette 42100 SAINT-ETIENNE;219-01;10000;;332614;;;;;;;;;;;;;;;;;;;;;
79;ACAJA;Fonctionnement;;134-02;8000;;1020;;;;;;;;;;;;;;;;;;;;;
80;ACAPLM;Fonctionnement;;134-02;2000;;330684;;;;;;;;;;;;;;;;;;;;;
81;ACB Escrime, Présidente Mme Mauricette Lefevre;Dépenses de fonctionnement; 93000 Bobigny;;4000;;268019;;;;;;;;;;;;;;;;;;;;;
82;ACCA;Fonctionnement;;113-07;1000;;2345;;;;;;;;;;;;;;;;;;;;;
83;ACCA;Fonctionnement;;113-07;1000;;344492;;;;;;;;;;;;;;;;;;;;;
84;ACCA Boisset Saint Priest;Fonctionnement;;113-07;500;;267429;;;;;;;;;;;;;;;;;;;;;
85;ACCA de Beaulieu;Aménagement local chasseurs;M. Serge FAYOLLE - Arthus - 43800 - Beaulieu;113-07;1000;;267285;;;;;;;;;;;;;;;;;;;;;
86;ACCA de Chambles;Fonctionnement;;113-07;500;;267429;;;;;;;;;;;;;;;;;;;;;
87;ACCA de Fontenelle;Fonctionnement;;113-07;1500;;267327;;;;;;;;;;;;;;;;;;;;;
88;ACCA du Chambon;Aménagement local chasseurs;M. Robert NOUVET - Chemin des Airelles - 43400 - Le Chambon sur Lignon;113-07;1000;;267285;;;;;;;;;;;;;;;;;;;;;
89;ACCA Menton;Fonctionnement;;113-07;1000;;1574;;;;;;;;;;;;;;;;;;;;;
90;ACCA St Sauveur;Aide à la réhabilitation d'un local;Mr Serge Raynaud Président de l’ACCA - Desteau 27 rte Pin Franc  - 33250 St Sauveur - ;113-07;2500;;331973;;;;;;;;;;;;;;;;;;;;;
91;ACCA Tarentaise;Fonctionnement;;113-07;500;;267429;;;;;;;;;;;;;;;;;;;;;
92;ACCA VINCA;Achat débroussalleuse ;27, bis Route de Rigarda 66320 VINCA;113-07;3000;;608328;;;;;;;;;;;;;;;;;;;;;
93;ACCA Yssingeaux;Fête de la chasse et du terroir;M. Michel SARDA - La Croix de Montchaud - 43200 - YSSINGEAUX;113-07;1000;;267285;;;;;;;;;;;;;;;;;;;;;
