nom,prenom,groupe,beneficiaire,adresse,descriptif,programme_budgetaire,montant
ABAD,Damien,UMP,"Sou des Ecoles Laïques",,Fonctionnement,140-01,1000
ABAD,Damien,UMP,"Sou des Ecoles Laïques",,Fonctionnement,140-01,1000
ABAD,Damien,UMP,"Sou des Ecoles Laïques",,Fonctionnement,140-01,1000
ABAD,Damien,UMP,"Sou des Ecoles Laïques et d'Education permanente",,Fonctionnement,140-01,1000
ABAD,Damien,UMP,"Sou des Ecoles Laïques et d'Education Populaire",,Fonctionnement,140-01,1000
ABAD,Damien,UMP,TEAMSYL'20,,Fonctionnement,219-01,1500
ABAD,Damien,UMP,"Union Cycliste Hauteville-Albarine",,Fonctionnement,219-01,1000
ABAD,Damien,UMP,"Val Muse",,Fonctionnement,224-02,1500
ABAD,Damien,UMP,"Sou des Ecoles Laïque",,Fonctionnement,140-01,1000
ABAD,Damien,UMP,"Aîkido Plastic Vallée",,Fonctionnement,219-01,1000
ABAD,Damien,UMP,"Albarine Basket Club",,Fonctionnement,219-01,1000
ABAD,Damien,UMP,Amblamex,,Fonctionnement,134-02,1500
ABAD,Damien,UMP,"Amicale coopérative Scolaire de l'Ecole de Cormaranche en Buget",,Fonctionnement,214-01,1000
ABAD,Damien,UMP,"Amicale des donneurs de sang",,Fonctionnement,204-17,1000
ABAD,Damien,UMP,"Amicale des Pompiers de Charix-Apremont",,Fonctionnement,161-13,3000
ABAD,Damien,UMP,"APPEL St Collège St Marie",,Fonctionnement,139-09,1000
ABAD,Damien,UMP,"Art et Cultures du Haut-Bugey",,Fonctionnement,224-02,1000
ABAD,Damien,UMP,"Association Agréée  de Pêche et de Protection du Milieu Aquatique des Rivières et Lacs du Haut Bugey",,Fonctionnement,205-06,1000
ABAD,Damien,UMP,"Association Chapelle St Claude",,Fonctionnement,224-02,1000
ABAD,Damien,UMP,"Association de Gérétonlogie du Bassin d'Oyonnax",,Fonctionnement,157-05,1500
ABAD,Damien,UMP,"Association de Parent d'élèves de l'Enseignement Libre St Joseph Jeanne D'Arc Primaire",,Fonctionnement,214-01,1500
ABAD,Damien,UMP,"Association de parents d'élèves de l'enseignement libre d e l'Ecole St Joseph",,Fonctionnement,214-01,1500
ABAD,Damien,UMP,"Association de Protection du gardon",,Fonctionnement,113-01,1000
ABAD,Damien,UMP,"Association des Amis de l' Orgue",,Fonctionnement,224-02,1000
ABAD,Damien,UMP,"Association des Vétérans des essais nucléaires",,Fonctionnement,169-06,1000
ABAD,Damien,UMP,"Association Familiale de Centres de Vacances",,Fonctionnement,106-03,1000
ABAD,Damien,UMP,"Association Football de Dortan",,Fonctionnement,219-01,1000
ABAD,Damien,UMP,"Association Pont de Groslée",,Fonctionnement,224-02,1000
ABAD,Damien,UMP,"Association Théatre de la Chrysalide",,Fonctionnement,224-02,1000
ABAD,Damien,UMP,"Ecole de Musique",,Fonctionnement,224-02,1000
ABAD,Damien,UMP,"Football Club de St Denis en Bugey",,Fonctionnement,219-01,1000
ABAD,Damien,UMP,"Hand Ball Club",,Fonctionnement,219-01,1000
ABAD,Damien,UMP,APREMONT,1,"l'installation d'un radar pédagogique à l'entrée du Petit-Vallon dans le périmètre de l'école",122-01,2000
ABAD,Damien,UMP,"L'atelier du Reverbère",,Fonctionnement,224-02,1000
ABAD,Damien,UMP,FLAXIEU,1,"la réfection de la toiture et de la cheminée du four communal",122-01,2500
ABAD,Damien,UMP,"Les Amis de la Mer",,Fonctionnement,205-02,1000
ABAD,Damien,UMP,HAUTEVILLE-LOMPNES,1,"la mise en place d'un ascenseur permettant l'accessibilité de la mairie aux personnes à mobilité réduite",122-01,8000
ABAD,Damien,UMP,"Les Amis de St Alban",,Fonctionnement,175-01,1000
ABAD,Damien,UMP,THEZILLIEU,1,"l'agrandissement et la réhabilitation du local des boulistes",122-01,4000
ABAD,Damien,UMP,"Les Amis du Lycée",,Fonctionnement,230-01,1000
ABAD,Damien,UMP,"Les amisdu canton de St Rambert",,Fonctionnement,224-02,1000
ABAD,Damien,UMP,"Les Folklories du Haut-Bugey",,Fonctionnement,224-02,1000
ABAD,Damien,UMP,"Les Vétérans - Foot de Martignat",,Fonctionnement,219-01,1000
ABAD,Damien,UMP,"Musée du Cheminot",,Fonctionnement,175-03,1000
ABAD,Damien,UMP,"Office  de Tourisme Intercommunal",,Fonctionnement,134-21,1500
ABAD,Damien,UMP,"Organisme de Gestion d'Etablissement d'Enseignement Privé Ste Thérèse",,Fonctionnement,139-09,1000
ABAD,Damien,UMP,"Passion FM Bellignat",,Fonctionnement,313-03,1000
ABAD,Damien,UMP,"Secours Catholique Oyonnax",,Fonctionnement,177-11,1000
ABAD,Damien,UMP,"Section Anciens enfants de Troupes",,Fonctionnement,169-03,1000
ABAD,Damien,UMP,"Société Amicale du Corps de Sapeurs ompiers",,Fonctionnement,161-13,1000
ABAD,Damien,UMP,"Société du Sou des Ecoles Laïques",,Fonctionnement,140-01,1000
ABAD,Damien,UMP,"Sou des Ecoles",,Fonctionnement,140-01,1000
ABAD,Damien,UMP,"Sou des écoles BELLEYDOUX",,Fonctionnement,140-01,1000
ABAD,Damien,UMP,"Sou des écoles DORTAN",,Fonctionnement,140-01,1000
ABAD,Damien,UMP,"Sou des écoles ECHALLON",,Fonctionnement,140-01,1000
ABAD,Damien,UMP,"Sou des écoles MONTREAL LA CLUSE",,Fonctionnement,140-01,1000
