nom;prenom;groupe;beneficiaire;adresse;descriptif;programme_budgetaire;montant;observations
ABAD;Damien;"Les Républicains";ACOMAR;OYONNAX;"Participation défilé et cérémonies 27 et 28 Juin 2015";178-03;2500.00;
ABAD;Damien;"Les Républicains";"Activités physiques du Troisième Age";OYONNAX;"Participation frais de sortie";157-05;1000.00;
ABAD;Damien;"Les Républicains";"ADAPEI de l'Ain - IME Les Sapins";OYONNAX;"Particiaption frais rénovation";157-01;1500.00;
ABAD;Damien;"Les Républicains";"Allymes en Musique";"AMBERIEU EN BUGEY";"Organisation concert";224-02;1000.00;
ABAD;Damien;"Les Républicains";"AM Kayak 01";OYONNAX;"Pratique du Canoë- Kayak";163-01;1000.00;
ABAD;Damien;"Les Républicains";"Ambérieu Marathon";"CANTON Ambérieu";"17è Ronde des Grangeons";219-01;1500.00;
ABAD;Damien;"Les Républicains";"Ambérieu Rugby XV";"AMBERIEU EN BUGEY";"Achat jeu de maillot pour équipe 1";219-01;2000.00;
ABAD;Damien;"Les Républicains";AMBERIEU-EN-BUGEY;;"l'aménagement et la sécurisation de l'esplanade de la Maison des Jeunes et de la Culture";122-01;10000.00;
ABAD;Damien;"Les Républicains";"Ambition Cyclisme Femin'Ain";IZERNORE;Fonctionnement;219-01;1000.00;
ABAD;Damien;"Les Républicains";"Amicale d'Ardosset";CEYZERIEU;"Achat tentes pour manifestations";163-01;1000.00;
ABAD;Damien;"Les Républicains";ARANDAS;;"la dénomination et la numérotation des rues et la signalétique de l'auberge communale";122-01;5000.00;
ABAD;Damien;"Les Républicains";"Arc-en-Ciel d'Oyonnax";OYONNAX;"Participation ateliers";163-01;1000.00;
ABAD;Damien;"Les Républicains";"Association Amicale des Chasseurs d'Arandas";Arandas;"Aménagement local";113-07;1500.00;
ABAD;Damien;"Les Républicains";"Association Conjoints survivants";;"Participation frais sorties et activités";304-17;1000.00;
ABAD;Damien;"Les Républicains";"Association de Sauvegarde de l'Eglise de Leyssard et de la Chapelle de Solomiat";LEYSSARD;"Participation frais rénovation";175-01;2000.00;
ABAD;Damien;"Les Républicains";"Association de Tir d'Amberieu en Bugey";"AMBERIEU EN BUGEY";"Aménagement stand de tir";219-01;1000.00;
ABAD;Damien;"Les Républicains";"Association Départementale des pupilles de l'enseignement public de l'Ain (ADPEP 01)";CONDAMINE;"Participation Projet de Classe IME Marcel Brun";230-01;1000.00;
ABAD;Damien;"Les Républicains";"Association des Amis de la Chapelle de La Cueille";PONCIN;"Restauration Eglise";175-01;1500.00;
ABAD;Damien;"Les Républicains";"Association des amis du Château des Allymes";"AMBERIEU EN BUGEY";"Création d'une salle d'arme";224-02;1500.00;
ABAD;Damien;"Les Républicains";"Association des Anciens Enfants de Troupes";;"Création d'une salle dédiée";169-03;1000.00;
ABAD;Damien;"Les Républicains";"Association des Délégués départementaux de l'Education Nationale";;"Congrès départemental";214-01;1000.00;
ABAD;Damien;"Les Républicains";"Association du Maquis de l'Ain et du Haut-Jura";Haut-Bugey;"Participation frais commémorations 2015";167-02;1000.00;
ABAD;Damien;"Les Républicains";"Association Entre Temps";LHUIS;"Accompagnement personnes agées";157-05;1500.00;
ABAD;Damien;"Les Républicains";"Association Le Réveil";"AMBERIEU EN BUGEY";"Anniversaire des 120 ans";219-01;1500.00;
ABAD;Damien;"Les Républicains";"Association Speedouille";AMBRONAY;"Initiation enfants caisse à savon";163-01;1000.00;
ABAD;Damien;"Les Républicains";"Association Trait d'Union";"AMBERIEU EN BUGEY";"Organisation animations en faveur de personnes agées";157-05;1000.00;
ABAD;Damien;"Les Républicains";"Association USO Rugby";OYONNAX;Fonctionnement;219-01;3000.00;
ABAD;Damien;"Les Républicains";"Association Val d'Orphée";"MATAFELON GRANGES";"Participation frais festival";224-02;1000.00;
ABAD;Damien;"Les Républicains";BELMONT-LUTHEZIEU;;"la création d'une aire de jeux";122-01;3066.00;
ABAD;Damien;"Les Républicains";"Cap Emploi Ressources Handicaps";AIN;"Journée Prix de l innovation";102-02;1000.00;
ABAD;Damien;"Les Républicains";CECOF;"AMBERIEU EN BUGEY";"Aménagement internat";134-03;2500.00;
ABAD;Damien;"Les Républicains";"Centre Socio culturel de l'Albarine";"CANTON ST RAMBERT EN BUGEY";"Achat Structure home ball transportable";224-02;3000.00;
ABAD;Damien;"Les Républicains";"Cercle Amical de Songieu";Songieu;"Opération topographique";224-02;1500.00;
ABAD;Damien;"Les Républicains";CHATEAU-GAILLARD;;"la mise en place de tableaux blancs interactifs et d'un réseau IP à l'école";122-01;3300.00;
ABAD;Damien;"Les Républicains";"Club de l'Amitié de la Grenette";OYONNAX;"Participation frais aux activités";163-01;2000.00;
ABAD;Damien;"Les Républicains";"Club de pétanque de l'Albarine";"SAINT RAMBERT EN BUGEY";Fonctionnement;163-01;1000.00;
ABAD;Damien;"Les Républicains";"Club du 3ème Age - EHPAD Haut-Bugey";OYONNAX;"Participation frais aux activités";157-05;1000.00;
ABAD;Damien;"Les Républicains";"Club sportif du Valromey (foot)";"Canton Champagne";"Tournoi Allemagne";163-01;1500.00;
ABAD;Damien;"Les Républicains";"Comité des Fêtes de Saint Maurice de Remens";"Saint Maurice de Rémens";"Achat matériel";224-02;1000.00;
ABAD;Damien;"Les Républicains";"communauté de communes du Valromey";;"l'installation d'une cabine de projection dans la salle des fêtes de la Maison de Pays";122-01;1782.00;
ABAD;Damien;"Les Républicains";CONTREVOZ;;"la mise aux normes d'accessibilité du bâtiment mairie-école (1ère tranche)";122-01;7500.00;
ABAD;Damien;"Les Républicains";CORMARANCHE-EN-BUGEY;;"l'installation de radars pédagogiques route d'Hauteville dans la partie Mélogne";122-01;3000.00;
ABAD;Damien;"Les Républicains";"Fédération Française des Médaillés Jeunesse et Sports";AIN;"Publication et animation";163-01;1000.00;
ABAD;Damien;"Les Républicains";"Foyer Fernand Verchere";OYONNAX;"Participation frais aux activités";157-05;1000.00;
ABAD;Damien;"Les Républicains";"France Bénévolat";Ambérieu;"Création antenne locale";163-01;1500.00;
ABAD;Damien;"Les Républicains";"Handicap Aventure";"HAUTEVILLE et CANTON";"Organisation randonnée pour personnes handicapées";157-01;1500.00;
ABAD;Damien;"Les Républicains";"Jeunes Pompiers Haut-Bugey";HAUT-BUGEY;"Particiaption frais";161-13;1500.00;
ABAD;Damien;"Les Républicains";"Kiwanis Club Oyonnax Nantua";OYONNAX;"8ème édition Semaine de Lecture";163-01;1000.00;
ABAD;Damien;"Les Républicains";"La vie avant tout - Maison de retraite du Haut-Bugey";OYONNAX;"Participation frais aux activités";157-05;1000.00;
ABAD;Damien;"Les Républicains";"LE PETIT-ABERGEMENT";;"la mise en place d'un abribus place du village";122-01;1100.00;
ABAD;Damien;"Les Républicains";"Le Préau Théatre et Ecriture";"AMBERIEU EN BUGEY";"23ème festival";224-02;1500.00;
ABAD;Damien;"Les Républicains";"Les Amis de la Tour";"SAINT-MARTIN-DU FRESNE";"Participation Journée 500 Ans Sébastien Castellioni";224-02;1500.00;
ABAD;Damien;"Les Républicains";"Les Amis de Saint Germain et son Château";"AMBERIEU EN BUGEY";"Réalisation 2 tables en bois-accueil";224-02;1000.00;
ABAD;Damien;"Les Républicains";"Les Chantres d'Ain";MARTIGNAT;"Pratique du Chant Chorale amateur chœur d'hommes et animation de manifestations  musicales";224-02;1000.00;
ABAD;Damien;"Les Républicains";"MARPA"" Les Jardins des Courtanes""";"SERRIERES DE BRIORD";"Achat poulailler";157-05;1000.00;
ABAD;Damien;"Les Républicains";OYO'CINE;OYONNAX;Fonctionnement;224-02;1000.00;
ABAD;Damien;"Les Républicains";"Passion FM";BELLIGNAT;Fonctionnement;224-02;1000.00;
ABAD;Damien;"Les Républicains";"Pétanque Nantuatienne";NANTUA;Fonctionnement;219-01;1000.00;
ABAD;Damien;"Les Républicains";"Plastics Vallée Football Club";OYONNAX;Fonctionnement;219-01;2000.00;
ABAD;Damien;"Les Républicains";"RAID FEMIN'AIN";PONCIN;"Participation Frais RAID 2015";219-01;1000.00;
ABAD;Damien;"Les Républicains";SAINT-BENOIT;;"la mise en accessibilité du bâtiment de la mairie";122-01;7225.00;
